epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.7019,2.45655,18.3152,0.01386,0.00191,0.00696,0.00118,0.00034,2.54007,19.5015,0.01435,0.0001936,0.0001936,0.0781936
2,52.3811,2.26092,11.2484,0.01217,0.00849,0.07815,0.01043,0.0033,2.70212,14.7732,0.01858,0.000395976,0.000395976,0.055396
3,63.7288,2.25363,10.291,0.01168,0.41429,0.06066,0.03533,0.01257,2.1729,12.4304,0.01227,0.000598254,0.000598254,0.0325983
4,75.0213,2.20201,9.77915,0.01215,0.30591,0.08625,0.05219,0.01722,2.16659,10.9864,0.01224,0.00080036,0.00080036,0.00980036
5,86.1161,2.19978,9.20837,0.01156,0.3729,0.1163,0.09102,0.032,2.20317,9.70147,0.01279,0.00087914,0.00087914,0.00087914
6,97.8513,2.23223,8.9018,0.01207,0.13453,0.05669,0.08929,0.03134,2.22881,9.86853,0.01279,0.000878657,0.000878657,0.000878657
7,109.306,2.21258,8.8479,0.01213,0.2675,0.21076,0.13807,0.04914,2.20129,8.54584,0.01245,0.000878067,0.000878067,0.000878067
8,120.714,2.22907,9.04657,0.01192,0.58902,0.11862,0.09387,0.03059,2.25615,9.8794,0.0127,0.000877369,0.000877369,0.000877369
9,132.348,2.18523,8.53276,0.01216,0.60639,0.11603,0.1181,0.03928,2.25068,8.25861,0.01328,0.000876565,0.000876565,0.000876565
10,144.478,2.20322,8.64961,0.01227,0.30186,0.17185,0.13764,0.04554,2.28667,8.29729,0.01328,0.000875654,0.000875654,0.000875654
11,156.465,2.21534,8.86597,0.01182,0.47076,0.16413,0.07786,0.02115,2.55306,11.2114,0.0165,0.000874637,0.000874637,0.000874637
12,168.574,2.166,8.19491,0.01201,0.38766,0.18019,0.13969,0.04973,2.15183,7.84126,0.01217,0.000873514,0.000873514,0.000873514
13,180.129,2.194,8.12143,0.01257,0.49561,0.17644,0.13769,0.04583,2.26679,8.03538,0.01316,0.000872284,0.000872284,0.000872284
14,191.64,2.21304,8.08793,0.01235,0.37606,0.18327,0.15191,0.0505,2.25139,8.17269,0.01253,0.000870949,0.000870949,0.000870949
15,203.208,2.15122,8.15119,0.01223,0.31378,0.19893,0.15971,0.05686,2.16363,7.32822,0.01224,0.000869509,0.000869509,0.000869509
16,214.491,2.19586,7.87621,0.01179,0.50565,0.17965,0.12812,0.04303,2.32052,9.19972,0.01291,0.000867964,0.000867964,0.000867964
17,226.095,2.2132,7.75341,0.01203,0.3646,0.2117,0.14784,0.05244,2.22101,7.39638,0.01249,0.000866315,0.000866315,0.000866315
