epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,44.2437,2.62434,6.75623,0.01521,0.00711,0.05378,0.00554,0.00178,2.29093,6.07529,0.01289,0.00016918,0.00016918,0.00016918
2,61.4671,2.13628,4.58426,0.01098,0.02843,0.14007,0.03201,0.01109,2.12572,4.01583,0.01221,0.000339198,0.000339198,0.000339198
3,79.0923,2.03741,3.31993,0.01074,0.58502,0.10038,0.06075,0.02097,2.14398,2.83004,0.01249,0.000502212,0.000502212,0.000502212
4,97.2526,2.05502,2.68248,0.01109,0.82393,0.08401,0.0573,0.01966,2.1763,3.00418,0.01258,0.000658222,0.000658222,0.000658222
5,114.229,2.06558,2.5168,0.01028,0.71451,0.10511,0.10052,0.03716,2.05986,2.42032,0.01165,0.000708095,0.000708095,0.000708095
6,131.365,2.04566,2.30861,0.01074,0.45401,0.18231,0.11078,0.03893,2.07661,2.57789,0.01183,0.000692869,0.000692869,0.000692869
7,148.766,2.03137,2.23143,0.01077,0.48225,0.13918,0.11171,0.03861,2.21099,2.3883,0.01225,0.000677643,0.000677643,0.000677643
8,165.941,2.06386,2.22166,0.01092,0.37401,0.15521,0.12951,0.04809,2.04652,2.03664,0.01155,0.000662417,0.000662417,0.000662417
9,183.181,2.00804,2.15056,0.01074,0.38241,0.17214,0.1302,0.04644,2.11192,2.16526,0.01218,0.00064719,0.00064719,0.00064719
10,200.776,2.03833,2.11749,0.01084,0.38457,0.15228,0.12822,0.04221,2.10826,2.07463,0.01205,0.000631964,0.000631964,0.000631964
11,217.997,2.00241,2.08446,0.01092,0.25589,0.19551,0.12847,0.04787,2.04912,2.17181,0.01145,0.000616738,0.000616738,0.000616738
12,235.193,1.99292,2.05066,0.01101,0.2611,0.14805,0.1161,0.04021,2.10428,2.17847,0.01162,0.000601512,0.000601512,0.000601512
13,252.591,2.00692,1.99896,0.01032,0.28554,0.18124,0.14131,0.0526,2.05773,2.05542,0.01157,0.000586286,0.000586286,0.000586286
14,269.814,2.00681,1.97773,0.01067,0.27788,0.17091,0.13771,0.05131,2.00482,2.02089,0.01122,0.000571059,0.000571059,0.000571059
15,286.961,1.96058,1.99169,0.01069,0.38421,0.17424,0.14706,0.05483,2.02062,1.92794,0.01129,0.000555833,0.000555833,0.000555833
16,304.784,1.95761,1.9438,0.00981,0.26079,0.19605,0.15298,0.05617,2.05729,1.85954,0.01164,0.000540607,0.000540607,0.000540607
17,322.292,1.96203,2.01269,0.01068,0.25922,0.21486,0.15294,0.05731,2.08477,1.90134,0.01162,0.000525381,0.000525381,0.000525381
18,339.58,1.96749,1.89894,0.01021,0.28981,0.22733,0.16207,0.05958,2.06943,1.847,0.01157,0.000510155,0.000510155,0.000510155
19,357.695,1.9334,1.89,0.01027,0.39452,0.16844,0.14432,0.05151,2.10176,2.05183,0.0119,0.000494928,0.000494928,0.000494928
20,374.904,1.96059,1.87841,0.01032,0.39513,0.18169,0.16004,0.05947,2.06484,1.94948,0.0117,0.000479702,0.000479702,0.000479702
21,391.773,1.96921,1.89433,0.01058,0.37769,0.17949,0.15163,0.0558,2.06769,2.03811,0.01141,0.000464476,0.000464476,0.000464476
22,409.05,1.9609,1.92677,0.01064,0.27545,0.18675,0.13091,0.04637,2.10722,2.19189,0.0122,0.00044925,0.00044925,0.00044925
23,426.841,1.95375,1.88437,0.01057,0.37673,0.18161,0.14516,0.05512,2.02803,2.0186,0.01126,0.000434024,0.000434024,0.000434024
24,444.003,1.94273,1.87657,0.01009,0.40669,0.19181,0.15534,0.05613,2.10462,1.89209,0.01186,0.000418797,0.000418797,0.000418797
25,461.249,1.95243,1.82843,0.0104,0.393,0.18837,0.1616,0.06117,2.05523,1.9095,0.01149,0.000403571,0.000403571,0.000403571
