epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.5739,2.60446,14.1502,0.01479,0.0006,0.00782,0.00036,0.0001,3.02049,14.3427,0.02091,6.8e-05,6.8e-05,0.083068
2,17.4019,2.26936,8.31575,0.01187,0.01693,0.24819,0.03144,0.00932,2.36289,12.5079,0.01399,0.000139966,0.000139966,0.06514
3,26.0136,2.24175,7.25953,0.012,0.05692,0.40895,0.09061,0.02952,2.16808,11.3535,0.01264,0.000211793,0.000211793,0.0472118
4,34.4163,2.31088,6.90695,0.01191,0.10152,0.44127,0.13593,0.05152,2.04241,11.6053,0.01183,0.000283376,0.000283376,0.0292834
5,42.9597,2.29445,6.66651,0.0117,0.08662,0.64483,0.22556,0.08008,2.14946,9.73148,0.01275,0.00035461,0.00035461,0.0113546
6,51.5175,2.25304,6.12828,0.01169,0.37311,0.26926,0.27452,0.0996,2.20255,8.48493,0.01307,0.000397562,0.000397562,0.000397562
7,60.2992,2.26133,6.12282,0.01194,0.35058,0.32382,0.28555,0.10191,2.19691,7.02998,0.01308,0.000396493,0.000396493,0.000396493
8,68.8829,2.23114,6.07922,0.01178,0.44775,0.38368,0.35129,0.12124,2.23518,5.61507,0.01339,0.000395232,0.000395232,0.000395232
9,77.5672,2.2184,5.69218,0.01174,0.50894,0.39743,0.37786,0.13454,2.16082,5.72102,0.01267,0.000393779,0.000393779,0.000393779
10,85.627,2.16633,5.71273,0.01169,0.46402,0.40724,0.39261,0.13943,2.18251,5.31876,0.01279,0.000392138,0.000392138,0.000392138
11,94.4993,2.19623,5.68321,0.01171,0.44581,0.41469,0.3855,0.13805,2.15812,5.80326,0.01258,0.000390309,0.000390309,0.000390309
12,103.399,2.25603,5.84678,0.01105,0.49745,0.37156,0.38089,0.13378,2.16535,5.55592,0.01285,0.000388294,0.000388294,0.000388294
13,111.747,2.13848,5.57396,0.01188,0.40981,0.42592,0.35335,0.11687,2.24439,5.53891,0.01372,0.000386096,0.000386096,0.000386096
14,121.071,2.13597,5.42375,0.01106,0.39796,0.377,0.34047,0.13147,2.0463,5.73561,0.01189,0.000383715,0.000383715,0.000383715
15,130.069,2.12361,5.60565,0.01105,0.38478,0.34869,0.3099,0.11824,2.11131,6.08022,0.01242,0.000381156,0.000381156,0.000381156
16,138.416,2.12069,5.39671,0.01095,0.38675,0.42084,0.38478,0.14217,2.20868,4.97988,0.01322,0.000378419,0.000378419,0.000378419
17,147.39,2.15706,5.50118,0.01136,0.46538,0.4488,0.42018,0.14517,2.24661,4.94907,0.01357,0.000375509,0.000375509,0.000375509
18,156.554,2.11866,5.17098,0.01085,0.44823,0.48497,0.44269,0.16579,2.16907,4.6038,0.01276,0.000372427,0.000372427,0.000372427
19,164.757,2.13109,5.21618,0.01158,0.42378,0.49444,0.44297,0.15908,2.22588,4.56975,0.01332,0.000369177,0.000369177,0.000369177
20,173.537,2.12643,5.05039,0.01125,0.4479,0.48198,0.44456,0.16915,2.17991,4.41569,0.01274,0.000365762,0.000365762,0.000365762
21,182.658,2.14365,5.10606,0.01076,0.43393,0.44634,0.42443,0.16028,2.1675,4.6995,0.01273,0.000362185,0.000362185,0.000362185
22,190.868,2.12831,5.11762,0.01141,0.40609,0.46989,0.39081,0.13661,2.27237,4.6469,0.0137,0.000358451,0.000358451,0.000358451
23,199.895,2.12008,4.92593,0.01135,0.38028,0.48944,0.40241,0.14016,2.26494,4.54551,0.01381,0.000354562,0.000354562,0.000354562
24,208.957,2.11959,4.99858,0.01121,0.42292,0.48835,0.43188,0.15672,2.22918,4.24616,0.01341,0.000350522,0.000350522,0.000350522
25,217.585,2.1088,4.85912,0.01101,0.50472,0.46437,0.44462,0.163,2.23364,4.84646,0.01363,0.000346336,0.000346336,0.000346336
26,226.597,2.11722,4.95688,0.01116,0.49279,0.46065,0.42069,0.14029,2.28508,5.52273,0.01407,0.000342007,0.000342007,0.000342007
27,235.736,2.11663,4.82733,0.01119,0.44857,0.46203,0.42153,0.15266,2.19541,4.80804,0.01323,0.00033754,0.00033754,0.00033754
28,243.996,2.12585,5.17549,0.01127,0.42976,0.47642,0.41018,0.15216,2.16425,4.63369,0.01294,0.00033294,0.00033294,0.00033294
29,253.169,2.12086,4.98345,0.01084,0.45065,0.53577,0.4461,0.16471,2.14034,4.67682,0.01249,0.00032821,0.00032821,0.00032821
30,262.192,2.05962,5.00359,0.01128,0.43366,0.47542,0.41772,0.15731,2.14921,4.867,0.0126,0.000323356,0.000323356,0.000323356
31,270.38,2.10974,4.9257,0.01115,0.47573,0.47908,0.44732,0.16073,2.19474,4.7161,0.01311,0.000318381,0.000318381,0.000318381
32,279.286,2.1173,4.74858,0.01156,0.50267,0.49229,0.479,0.17448,2.20593,4.45251,0.0133,0.000313293,0.000313293,0.000313293
33,288.609,2.12725,4.69005,0.01121,0.44142,0.55432,0.465,0.16998,2.2122,4.48909,0.0133,0.000308094,0.000308094,0.000308094
34,297.197,2.11116,4.77825,0.01137,0.48984,0.47152,0.45984,0.16212,2.2208,4.73292,0.01344,0.00030279,0.00030279,0.00030279
35,306.137,2.07076,4.71042,0.01058,0.48848,0.47842,0.45449,0.16664,2.15527,4.63509,0.01279,0.000297387,0.000297387,0.000297387
36,315.282,2.06772,4.69624,0.01073,0.47048,0.48228,0.45227,0.16483,2.1599,5.0129,0.01292,0.00029189,0.00029189,0.00029189
37,323.598,2.09879,4.64633,0.01104,0.50408,0.4695,0.45197,0.17338,2.14337,4.72614,0.01271,0.000286304,0.000286304,0.000286304
38,332.472,2.09216,4.66393,0.011,0.46534,0.44313,0.42858,0.15397,2.19447,4.81173,0.01319,0.000280635,0.000280635,0.000280635
39,341.43,2.06081,4.56375,0.01136,0.4585,0.49191,0.44352,0.15686,2.18718,4.76072,0.0131,0.000274889,0.000274889,0.000274889
40,349.786,2.05833,4.54687,0.01098,0.44486,0.48734,0.45012,0.16986,2.14933,4.49915,0.0126,0.00026907,0.00026907,0.00026907
41,358.654,2.06291,4.49958,0.01093,0.51351,0.4828,0.45533,0.17124,2.15774,4.47317,0.01275,0.000263185,0.000263185,0.000263185
42,367.883,2.09227,4.66107,0.01116,0.4927,0.42329,0.44034,0.16593,2.14121,4.75678,0.0127,0.00025724,0.00025724,0.00025724
43,376.361,2.07817,4.64297,0.01077,0.46165,0.47983,0.43589,0.16343,2.12256,4.80695,0.01251,0.000251241,0.000251241,0.000251241
44,385.385,2.06436,4.49446,0.01017,0.44112,0.50362,0.45313,0.17109,2.13035,4.44443,0.01252,0.000245192,0.000245192,0.000245192
45,394.39,2.07592,4.45004,0.01081,0.45483,0.4964,0.45966,0.17488,2.1354,4.37843,0.01243,0.000239102,0.000239102,0.000239102
46,402.981,2.07613,4.46676,0.01059,0.4619,0.48163,0.46017,0.17691,2.15084,4.51911,0.01266,0.000232974,0.000232974,0.000232974
47,411.938,2.08604,4.38036,0.01106,0.47325,0.50145,0.46069,0.17702,2.17267,4.45653,0.01293,0.000226816,0.000226816,0.000226816
48,420.953,2.0662,4.41619,0.0108,0.47192,0.47941,0.45713,0.17838,2.12527,4.61099,0.01249,0.000220633,0.000220633,0.000220633
49,429.481,2.06165,4.67496,0.01059,0.45362,0.44519,0.42951,0.15889,2.21012,4.87348,0.01343,0.000214433,0.000214433,0.000214433
50,438.395,2.03062,4.42525,0.01056,0.46301,0.46423,0.43131,0.16107,2.1922,4.82597,0.01327,0.000208219,0.000208219,0.000208219
51,447.248,2.04144,4.45587,0.01081,0.50168,0.45732,0.43799,0.1686,2.18264,4.76568,0.01313,0.000202,0.000202,0.000202
52,455.766,2.09475,4.52783,0.01064,0.48127,0.46265,0.44234,0.16812,2.20546,4.51434,0.01327,0.000195781,0.000195781,0.000195781
53,464.603,2.07642,4.36497,0.01075,0.45913,0.48035,0.45511,0.17144,2.20486,4.2669,0.01314,0.000189567,0.000189567,0.000189567
54,473.678,2.06878,4.44347,0.01058,0.48734,0.45247,0.46041,0.17186,2.18946,4.37977,0.01304,0.000183367,0.000183367,0.000183367
55,482.056,2.06716,4.55483,0.01092,0.48719,0.47535,0.45996,0.17545,2.16393,4.46896,0.01292,0.000177184,0.000177184,0.000177184
56,491.136,2.04681,4.52761,0.01056,0.48384,0.51198,0.47865,0.1855,2.13273,4.3642,0.01256,0.000171026,0.000171026,0.000171026
57,500.176,2.02713,4.51102,0.0104,0.45285,0.5538,0.48543,0.18683,2.1202,4.52497,0.01239,0.000164898,0.000164898,0.000164898
58,508.703,2.05666,4.39899,0.01044,0.47374,0.51676,0.46752,0.17845,2.14013,4.5213,0.01269,0.000158808,0.000158808,0.000158808
59,517.69,2.03065,4.49531,0.01027,0.49216,0.47601,0.47757,0.17709,2.18119,4.61644,0.01313,0.000152759,0.000152759,0.000152759
60,526.7,2.06683,4.46685,0.01062,0.52123,0.4852,0.47859,0.18347,2.16595,4.40507,0.01294,0.00014676,0.00014676,0.00014676
61,535.092,2.02973,4.32619,0.01083,0.56154,0.48962,0.49466,0.19262,2.11413,4.33262,0.01241,0.000140815,0.000140815,0.000140815
62,543.945,2.03327,4.35269,0.01055,0.505,0.46708,0.48413,0.18744,2.11632,4.55799,0.01244,0.00013493,0.00013493,0.00013493
63,552.95,2.01712,4.26459,0.01078,0.49972,0.47422,0.46046,0.17855,2.15175,4.88647,0.01282,0.000129111,0.000129111,0.000129111
64,561.502,2.03335,4.34438,0.01062,0.47882,0.49343,0.46531,0.17851,2.15183,4.76478,0.01281,0.000123365,0.000123365,0.000123365
65,570.389,1.98943,4.20426,0.01025,0.47746,0.50789,0.47457,0.18399,2.12681,4.47136,0.01254,0.000117696,0.000117696,0.000117696
66,579.381,2.02011,4.34803,0.01052,0.47431,0.51534,0.47912,0.18538,2.13807,4.46629,0.01261,0.00011211,0.00011211,0.00011211
67,587.917,2.05217,4.42806,0.01063,0.46634,0.51174,0.47566,0.18053,2.15714,4.50634,0.01283,0.000106613,0.000106613,0.000106613
68,596.867,2.05682,4.36272,0.01056,0.46839,0.47231,0.45431,0.16829,2.20859,4.77901,0.0134,0.00010121,0.00010121,0.00010121
69,605.795,2.0307,4.17061,0.01105,0.49253,0.45074,0.4501,0.16861,2.22705,4.80265,0.01357,9.59063e-05,9.59063e-05,9.59063e-05
70,614.301,2.05735,4.20544,0.01063,0.514,0.48786,0.47689,0.18138,2.18149,4.59759,0.01308,9.07075e-05,9.07075e-05,9.07075e-05
71,623.501,2.04314,4.12888,0.01047,0.5057,0.5023,0.48697,0.18844,2.14264,4.41149,0.01268,8.56185e-05,8.56185e-05,8.56185e-05
72,632.518,2.03507,4.28567,0.01039,0.50718,0.49598,0.48665,0.18822,2.13363,4.4646,0.0125,8.06444e-05,8.06444e-05,8.06444e-05
73,640.839,2.02071,4.25282,0.01069,0.48077,0.50834,0.48039,0.18729,2.1303,4.53571,0.01249,7.57901e-05,7.57901e-05,7.57901e-05
74,649.843,2.03477,4.35821,0.01042,0.4697,0.51563,0.48064,0.18635,2.12551,4.61396,0.01255,7.10603e-05,7.10603e-05,7.10603e-05
75,658.844,2.00176,4.27948,0.01059,0.47422,0.48666,0.46277,0.17902,2.15098,4.83585,0.01287,6.64597e-05,6.64597e-05,6.64597e-05
76,667.222,2.01817,4.17519,0.01059,0.4806,0.47026,0.45502,0.17337,2.18694,4.91533,0.01321,6.19929e-05,6.19929e-05,6.19929e-05
77,676.917,2.03736,4.384,0.01052,0.5003,0.45844,0.46114,0.17797,2.1932,4.76311,0.01324,5.76642e-05,5.76642e-05,5.76642e-05
78,686.194,2.0052,4.16131,0.01011,0.50164,0.49317,0.48109,0.18791,2.15914,4.51931,0.01288,5.3478e-05,5.3478e-05,5.3478e-05
79,694.398,2.02887,4.12817,0.01026,0.5071,0.51754,0.49448,0.19369,2.12783,4.40286,0.01252,4.94384e-05,4.94384e-05,4.94384e-05
80,703.432,2.00809,4.22558,0.01084,0.48843,0.5309,0.49799,0.19432,2.11597,4.38384,0.01236,4.55493e-05,4.55493e-05,4.55493e-05
81,712.85,1.98749,4.31488,0.01067,0.48796,0.50408,0.49311,0.1928,2.11474,4.42333,0.01239,4.18146e-05,4.18146e-05,4.18146e-05
82,721.168,2.0052,4.06377,0.0105,0.48514,0.50028,0.4842,0.18882,2.12507,4.48829,0.01256,3.8238e-05,3.8238e-05,3.8238e-05
83,730.092,2.0373,4.02832,0.01002,0.48044,0.50541,0.47968,0.18546,2.15473,4.57726,0.01287,3.48231e-05,3.48231e-05,3.48231e-05
84,739.126,1.98514,4.10471,0.01055,0.48596,0.50029,0.47233,0.17816,2.17526,4.68506,0.01308,3.15731e-05,3.15731e-05,3.15731e-05
85,747.512,2.01471,4.17438,0.01052,0.5003,0.48809,0.46962,0.17845,2.17702,4.69778,0.01306,2.84913e-05,2.84913e-05,2.84913e-05
86,757.331,2.0391,4.11063,0.01048,0.50863,0.47293,0.47247,0.18036,2.17563,4.68827,0.01304,2.55807e-05,2.55807e-05,2.55807e-05
