epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.5218,2.24284,40.908,0.01207,0.00645,0.03817,0.00366,0.00127,2.39382,8.69241,0.01287,0.000195652,0.000195652,0.0806304
2,57.3259,2.13583,8.79686,0.01101,0.03764,0.48862,0.04564,0.01756,1.81797,7.5575,0.00967,0.000395556,0.000395556,0.0608303
3,72.8448,2.15287,7.93622,0.00912,0.02486,0.58661,0.02778,0.00822,1.98666,7.52218,0.0103,0.00059507,0.00059507,0.0410299
4,88.2204,2.07496,8.14712,0.01138,0.02254,0.68588,0.05565,0.01714,1.95113,9.90735,0.01053,0.000793904,0.000793904,0.0212287
5,103.465,2.08267,8.75022,0.01004,0.03148,0.6351,0.07156,0.02444,1.92978,6.65364,0.01022,0.000991766,0.000991766,0.00142655
6,118.906,2.1201,8.38803,0.01159,0.07051,0.1584,0.08788,0.03028,2.04223,6.92587,0.01079,0.000993906,0.000993906,0.000993906
7,134.184,2.11683,7.79524,0.00982,0.06529,0.48242,0.07492,0.02014,2.05697,6.99882,0.01168,0.000991232,0.000991232,0.000991232
8,149.402,2.0573,8.19586,0.00931,0.56487,0.25382,0.11181,0.0343,1.94745,6.41919,0.01032,0.000988079,0.000988079,0.000988079
9,164.698,2.0015,8.22867,0.01053,0.02977,0.6916,0.0852,0.02817,1.8455,6.65055,0.00982,0.000984449,0.000984449,0.000984449
10,179.958,2.05777,7.73878,0.00902,0.14452,0.47254,0.14266,0.04963,1.94376,6.69553,0.01041,0.000980345,0.000980345,0.000980345
11,195.334,2.06844,7.3532,0.00885,0.03923,0.69241,0.06928,0.02225,2.00551,6.45576,0.011,0.000975773,0.000975773,0.000975773
12,210.456,1.94933,7.20288,0.00914,0.04271,0.60044,0.07595,0.0275,1.88629,7.16715,0.01001,0.000970736,0.000970736,0.000970736
13,225.634,2.01068,7.05984,0.00896,0.15596,0.35039,0.1124,0.04057,1.98609,6.77492,0.01055,0.000965239,0.000965239,0.000965239
14,240.871,2.15574,6.83168,0.00943,0.03889,0.72606,0.09027,0.03099,2.05372,6.74656,0.0113,0.000959289,0.000959289,0.000959289
15,256.087,2.07386,6.9223,0.01055,0.14181,0.22329,0.12949,0.04781,2.07848,5.86477,0.01141,0.000952889,0.000952889,0.000952889
16,271.295,2.1521,6.77988,0.01127,0.07937,0.59863,0.10404,0.03803,1.99543,6.10247,0.01077,0.000946048,0.000946048,0.000946048
17,286.458,2.1416,6.54321,0.01088,0.19043,0.2589,0.11376,0.03999,2.06098,6.08948,0.01139,0.000938772,0.000938772,0.000938772
18,301.663,2.31376,6.84228,0.01062,0.19705,0.31054,0.16161,0.05389,2.23633,5.44363,0.01233,0.000931067,0.000931067,0.000931067
19,316.946,2.08217,6.95207,0.01013,0.05522,0.68438,0.15152,0.05234,2.03037,6.22171,0.01108,0.000922942,0.000922942,0.000922942
20,332.145,2.0915,6.78636,0.012,0.26584,0.21358,0.18107,0.06201,2.01348,5.90277,0.01083,0.000914405,0.000914405,0.000914405
21,347.419,2.11542,7.64159,0.01053,0.20455,0.2719,0.17468,0.0574,2.04478,5.94083,0.01103,0.000905463,0.000905463,0.000905463
22,362.703,2.14864,7.01876,0.0104,0.05774,0.78758,0.16602,0.05403,2.13909,7.32515,0.01205,0.000896127,0.000896127,0.000896127
23,377.884,2.23523,6.27216,0.00972,0.63436,0.12786,0.14086,0.05395,2.07026,5.70972,0.01138,0.000886404,0.000886404,0.000886404
24,392.973,2.08828,7.06179,0.01111,0.07851,0.50964,0.16187,0.05994,2.14465,6.07905,0.01201,0.000876305,0.000876305,0.000876305
25,408.241,2.15687,6.6517,0.00974,0.30573,0.41974,0.24425,0.09427,2.02715,5.25494,0.01103,0.000865839,0.000865839,0.000865839
26,423.639,2.1134,5.82096,0.00973,0.25225,0.44961,0.24153,0.09115,2.05583,4.96542,0.01115,0.000855018,0.000855018,0.000855018
27,438.707,2.06029,6.72791,0.0108,0.12013,0.65328,0.17189,0.06429,2.11773,6.48969,0.01144,0.000843851,0.000843851,0.000843851
28,453.887,2.16614,6.31497,0.01121,0.04672,0.62156,0.09181,0.03703,2.0907,6.96576,0.01116,0.000832349,0.000832349,0.000832349
29,469.071,2.11186,6.33484,0.01057,0.16576,0.43833,0.15285,0.05362,2.06242,6.07367,0.01101,0.000820525,0.000820525,0.000820525
30,484.267,2.16642,6.6215,0.01022,0.27994,0.30999,0.20348,0.07233,2.02932,5.61659,0.01089,0.000808389,0.000808389,0.000808389
31,499.486,2.18263,6.09903,0.01036,0.26631,0.39792,0.24021,0.08188,2.09057,4.93087,0.0113,0.000795954,0.000795954,0.000795954
32,514.736,2.09379,6.19704,0.0107,0.37527,0.15185,0.24398,0.08449,2.11735,4.71893,0.01169,0.000783231,0.000783231,0.000783231
33,529.912,2.04482,5.974,0.00934,0.07126,0.80252,0.23656,0.08299,2.15294,5.79722,0.01208,0.000770234,0.000770234,0.000770234
34,545.134,2.18264,5.92272,0.0095,0.20755,0.3956,0.20475,0.07125,2.15627,5.00272,0.01207,0.000756976,0.000756976,0.000756976
35,560.41,2.18089,6.02731,0.01111,0.20898,0.39044,0.20545,0.07403,2.13317,5.06002,0.01151,0.000743468,0.000743468,0.000743468
36,575.613,2.11717,6.04847,0.01184,0.23743,0.32822,0.19568,0.071,2.05072,5.16024,0.01109,0.000729725,0.000729725,0.000729725
37,590.76,2.10787,6.32108,0.01011,0.23201,0.3704,0.20625,0.07656,2.05019,4.79061,0.01122,0.000715761,0.000715761,0.000715761
38,606.063,2.14588,5.76492,0.01142,0.22726,0.44219,0.2171,0.08496,2.07316,5.10848,0.01127,0.000701588,0.000701588,0.000701588
39,621.173,1.94183,5.8084,0.00916,0.21642,0.4305,0.2004,0.07806,2.06396,5.55018,0.01109,0.000687222,0.000687222,0.000687222
40,636.394,2.09191,5.87215,0.01039,0.22892,0.33921,0.20223,0.07887,2.01881,5.21665,0.01086,0.000672675,0.000672675,0.000672675
41,651.543,2.17025,5.93408,0.01076,0.25856,0.37556,0.2339,0.09126,2.06505,4.52945,0.01126,0.000657963,0.000657963,0.000657963
42,666.684,2.04937,5.53749,0.00975,0.25288,0.43633,0.25364,0.09508,2.10326,4.75874,0.01158,0.000643101,0.000643101,0.000643101
43,681.993,2.10786,5.97962,0.01145,0.26939,0.28299,0.21813,0.08375,2.04186,4.70775,0.01098,0.000628101,0.000628101,0.000628101
44,697.294,2.16439,5.49482,0.01044,0.24445,0.39986,0.23877,0.09157,2.05612,4.61584,0.01112,0.000612981,0.000612981,0.000612981
45,712.499,2.13906,5.50056,0.00957,0.27306,0.37582,0.24763,0.09111,2.07882,4.20435,0.0113,0.000597754,0.000597754,0.000597754
46,727.779,2.14614,5.39165,0.00971,0.25308,0.47492,0.24797,0.09133,2.1505,4.9888,0.01171,0.000582435,0.000582435,0.000582435
47,743.106,2.21749,5.50023,0.01013,0.26505,0.33196,0.2276,0.08774,2.10558,4.77093,0.01151,0.00056704,0.00056704,0.00056704
